question,answer
"Ai là tác giả của 'Don Quixote'?","Miguel de Cervantes."
"Thủ đô của Indonesia là gì?","Jakarta."
"Ngôn ngữ lập trình R được dùng chủ yếu cho gì?","Thống kê và phân tích dữ liệu."
"6 x 5 bằng bao nhiêu?","30."
"Ai phát minh ra vắc-xin đầu tiên?","Edward Jenner."
"Thủ đô của Na Uy là gì?","Oslo."
"Loài động vật có vú nhỏ nhất là gì?","Chuột chù lùn."
"Công thức hóa học của đường glucôzơ là gì?","C₆H₁₂O₆."
"25 + 15 bằng bao nhiêu?","40."
"Ai là tác giả của '1984'?","George Orwell."
"Thủ đô của Malaysia là gì?","Kuala Lumpur."
"Sông nào dài nhất châu Âu?","Sông Volga."
"Đơn vị đo áp suất trong hệ SI là gì?","Pascal."
"30 chia 6 bằng bao nhiêu?","5."
"Ai là người sáng lập Netflix?","Reed Hastings."
"Thủ đô của Ba Lan là gì?","Warsaw."
"Loài chim không bay lớn nhất là gì?","Đà điểu."
"1 hải lý bằng bao nhiêu kilômét?","1,852 kilômét."
"Ai là tác giả của 'Trăm năm cô đơn'?","Gabriel García Márquez."
"Thủ đô của Singapore là gì?","Singapore."
"Ngôn ngữ chính thức của Phần Lan là gì?","Tiếng Phần Lan và Thụy Điển."
"8 x 9 bằng bao nhiêu?","72."
"Ai phát minh ra động cơ hơi nước?","James Watt."
"Thủ đô của Chile là gì?","Santiago."
"Loài động vật sống sâu nhất dưới đại dương là gì?","Cá nhám mang xếp."
"Công thức tính thể tích hình trụ là gì?","V = πr²h."
"50 - 20 bằng bao nhiêu?","30."
"Ai là tác giả của 'Anna Karenina'?","Leo Tolstoy."
"Thủ đô của Colombia là gì?","Bogotá."
"Sông nào chảy qua Paris?","Sông Seine."
"Đơn vị đo công suất trong hệ SI là gì?","Watt."
"12 x 4 bằng bao nhiêu?","48."
"Ai là người sáng lập SpaceX?","Elon Musk."
"Thủ đô của Ireland là gì?","Dublin."
"Loài hoa lớn nhất thế giới là gì?","Hoa rafflesia."
"1 inch bằng bao nhiêu cm?","2,54 cm."
"Ai là tác giả của 'Tâm hồn cao cả'?","Edmondo De Amicis."
"Thủ đô của Đan Mạch là gì?","Copenhagen."
"Ngôn ngữ lập trình PHP được dùng chủ yếu cho gì?","Phát triển web."
"15 x 3 bằng bao nhiêu?","45."
"Ai phát minh ra máy in?","Johannes Gutenberg."
"Thủ đô của Bồ Đào Nha là gì?","Lisbon."
"Loài động vật có vú nhanh nhất dưới nước là gì?","Cá heo."
"Công thức hóa học của amoniac là gì?","NH₃."
"100 chia 25 bằng bao nhiêu?","4."
"Ai là tác giả của 'Những người khốn khổ'?","Victor Hugo."
"Thủ đô của Hy Lạp là gì?","Athens."
"Sông nào dài nhất Nam Mỹ?","Sông Amazon."
"Đơn vị đo tần số trong hệ SI là gì?","Hertz."
"9 x 7 bằng bao nhiêu?","63."
"Ai là người sáng lập Instagram?","Kevin Systrom."
"Thủ đô của Áo là gì?","Vienna."
"Loài cây ăn quả phổ biến nhất thế giới là gì?","Cây táo."
"1 yard bằng bao nhiêu mét?","0,9144 mét."
"Ai là tác giả của 'Cuốn theo chiều gió'?","Margaret Mitchell."
"Thủ đô của Thổ Nhĩ Kỳ là gì?","Ankara."
"Ngôn ngữ chính thức của Israel là gì?","Tiếng Do Thái và Ả Rập."
"11 x 11 bằng bao nhiêu?","121."
"Ai phát minh ra máy chụp X-quang?","Wilhelm Röntgen."
"Thủ đô của Peru là gì?","Lima."
"Loài động vật có tuổi thọ ngắn nhất là gì?","Bọ cánh cứng."
"Công thức tính diện tích hình thang là gì?","S = (a + b) x h / 2."
"60 - 45 bằng bao nhiêu?","15."
"Ai là tác giả của 'Bắt trẻ đồng xanh'?","J.D. Salinger."
"Thủ đô của Ukraine là gì?","Kyiv."
"Sông nào chảy qua London?","Sông Thames."
"Đơn vị đo điện trở trong hệ SI là gì?","Ohm."
"16 x 5 bằng bao nhiêu?","80."
"Ai là người sáng lập Twitter?","Jack Dorsey."
"Thủ đô của New Zealand là gì?","Wellington."
"Loài động vật có vú lớn nhất trên cạn là gì?","Tê giác."
